  Operator non-availability periods., 4OR
  Atmospheric models hybrid OpenMP/MPI implementation multicore cluster evaluation., Int. J. Inf. Technol. Commun. Convergence
  Top-10 Data Mining Case Studies., Int. J. Inf. Technol. Decis. Mak.
  Electric vehicle range estimation based on the road congestion level classification., Int. J. Inf. Technol. Manag.
  Modelling physical barriers to interorganisational system implementation success., Int. J. Inf. Technol. Manag.
  Critical Factors Affecting Effective Management of Site Personnel and Operatives in Confined Site Construction., Int. J. Inf. Technol. Proj. Manag.
  A Systemic, Participative Design of Decision Support Services for Clinical Research., Int. J. Inf. Technol. Syst. Approach
  Toward an Interdisciplinary Engineering and Management of Complex IT-Intensive Organizational Systems A Systems View., Int. J. Inf. Technol. Syst. Approach
  Text Summarization Based on Conceptual Data Classification., Int. J. Inf. Technol. Web Eng.
  Internet Usage, Motives and Advertisements Empirical Evidences from Iran., Int. J. Innov. Digit. Econ.
  Artificial intelligence for closed-loop ventilation therapy with hemodynamic control using the open lung concept., Int. J. Intell. Comput. Cybern.
  A Sandpit for Systems Engineering and Systems Integration education and research., Int. J. Intell. Def. Support Syst.
  Integrating protein visualisation in the classroom with StarBiochem., Int. J. Intell. Def. Support Syst.
  Construction of permittivity functions for high-explosives using density functional theory., Int. J. Intell. Def. Support Syst.
  Towards unmanned systems for dismounted operations in the Canadian Forces., Int. J. Intell. Def. Support Syst.
  An innovative virtual-engineering system for supporting integrated footwear design., Int. J. Intell. Eng. Informatics
  Resource and service virtualisation in M2M and IoT platforms., Int. J. Intell. Eng. Informatics
  Game based learning using web technologies., Int. J. Intell. Games Simul.
  An ambient agent system assisting humans in complex tasks by analysis of a human's state and performance., Int. J. Intell. Inf. Database Syst.
  A Behavior Adaptation Algorithm based on Hierarchical Partially Observable Markov Decision Process., Int. J. Intell. Inf. Process.
  Automatic renal segmentation applied in pediatric MR Urography., Int. J. Intell. Inf. Process.
  Visual Perception System of EROS Humanoid Robot Soccer., Int. J. Intell. Inf. Technol.
  Symmetric Uncertainty Based Search Space Reduction for Fast Face Recognition., Int. J. Intell. Inf. Technol.
  The Development of a Semi-Autonomous Framework for Personal Assistant Robots - SRS Project., Int. J. Intell. Mechatronics Robotics
  Autonomous robotic system for tunnel structural inspection and assessment., Int. J. Intell. Robotics Appl.
  Dissociating Improvement of Attention and Intelligence during Written Language Acquisition in Adults., Int. J. Intell. Sci.
  Fusion General concepts and characteristics., Int. J. Intell. Syst.
  Measuring of exhaust gas emissions using absorption spectroscopy., Int. J. Intell. Syst. Technol. Appl.
  Safety Testing of an Improved Brake System for Automatic Platooning of Trucks., Int. J. Intell. Transp. Syst. Res.
  Data Transmission Performance of DSRC (5.8GHz) typed Pedestrian-Vehicle Communication to Avoid Conflict between Right-Turn Vehicles and Pedestrians, Part 2., Int. J. Intell. Transp. Syst. Res.
  Facebook History Collector A New Method for Directly Collecting Data from Facebook., Int. J. Interact. Commun. Syst. Technol.
  Arabic Alphabetic Puzzle Game Using Eye Tracking and Chatbot for Dyslexia., Int. J. Interact. Mob. Technol.
  Determine Entrepreneurial Characteristics Using Mobile Android Game Freezer., Int. J. Interact. Mob. Technol.
  Mobile Tablet-Based Stroke Rehabilitation Using mHealth Technology to Improve Access to Early Stroke Rehabilitation., Int. J. Interact. Mob. Technol.
  A Support Vector Machine Classification of Computational Capabilities of 3D Map on Mobile Device for Navigation Aid., Int. J. Interact. Mob. Technol.
  Evaluation of a Diagnostic Decision Support System for the Triage of Patients in a Hospital Emergency Department., Int. J. Interact. Multim. Artif. Intell.
  Broadband and e-Government Services in South East Europe Comparative Analysis, Impact and Policy Recommendations., Int. J. Interdiscip. Telecommun. Netw.
  Theoretical Analysis and Experimental Study Monitoring Data Privacy in Smartphone Communications., Int. J. Interdiscip. Telecommun. Netw.
  Experiences with middleware and mobile agents in an e-commerce European project., Int. J. Internet Enterp. Manag.
  Framework for managing context-aware multimedia services in pervasive environments., Int. J. Internet Protoc. Technol.
  Design and implementation of computer- and network-assisted system for selecting priorities in the Joint College Entrance Examinations., Int. J. Internet Protoc. Technol.
  Development of a VII-enabled prototype intersection collision warning system., Int. J. Internet Protoc. Technol.
  Analysis of spatial information service composition network based on Ricci curvature., Int. J. Internet Protoc. Technol.
  Research Network on Interoperability of Applications and Software for Networked Enterprises in the Valencian Region (INTERVAL)., Int. J. Interoperability Bus. Inf. Syst.
  The PERPLEXUS bio-inspired hardware platform A flexible and modular approach., Int. J. Knowl. Based Intell. Eng. Syst.
  Supporting Knowledge-Based Decision Making in the Medical Context The GLARE Approach., Int. J. Knowl. Based Organ.
  Enhancing Student's Higher Order Thinking Skills (HOTS) through the Socratic Method Approach with Technology., Int. J. Knowl. Based Organ.
  Gamification's Role as a Learning and Assessment Tool in Education., Int. J. Knowl. Based Organ.
  Influence of Genomic and Other Biological Data Sets in the Understanding of Protein Structures, Functions and Interactions., Int. J. Knowl. Discov. Bioinform.
  Motivation mechanisms for participation in human-driven semantic content creation., Int. J. Knowl. Eng. Data Min.
  Evaluation of missing data imputation in longitudinal cohort studies in breast cancer survival., Int. J. Knowl. Eng. Soft Data Paradigms
  An ontology-driven software product line architecture for developing gamified intelligent tutoring systems., Int. J. Knowl. Learn.
  Bibliometric Analysis of Social Media as a Platform for Knowledge Management., Int. J. Knowl. Manag.
  The Quality of Knowledge Knowledge Patterns and Knowledge Refactorings., Int. J. Knowl. Manag.
  Research Portals Status Quo and Improvement Perspectives., Int. J. Knowl. Manag.
  Creating a Knowledge Supply Chain for e-Tourism Curriculum Design Integrating Knowledge Management and Supply Chain Management., Int. J. Knowl. Manag.
  Managing Knowledge in Organizational Memory Using Topics Maps1., Int. J. Knowl. Manag.
  Unlocking Social Media and User Generated Content as a Data Source for Knowledge Management., Int. J. Knowl. Manag.
  Improving Dynamic Knowledge Movements with a Knowledge-Based Framework during Conceptual Design of a Green Building Project., Int. J. Knowl. Manag.
  Cocreating Corporate Knowledge with a Wiki., Int. J. Knowl. Manag.
  Impact of Chinese Culture Calues on Knowledge Sharing Through Online Communities of Practice., Int. J. Knowl. Manag.
  Learning a Lightweight Ontology for Semantic Retrieval in Patient-Centered Information Systems., Int. J. Knowl. Manag.
  Organization of Lessons Learned Knowledge A Taxonomy and Implementation., Int. J. Knowl. Manag.
  Web-Based Service for Collaborative Authoring Learning Using Grid Portal., Int. J. Knowl. Soc. Res.
  A Consumer-Centric Open Innovation Framework for Food and Packaging Manufacturing., Int. J. Knowl. Syst. Sci.
  The Conceptual MADE Framework for Pervasive and Knowledge-Based Decision Support in Telemedicine., Int. J. Knowl. Syst. Sci.
  Representations of psychological function based on ontology for collaborative design of peer support services for diabetic patients., Int. J. Knowl. Web Intell.
  WiFi Roaming Legal Implications and Security Constraints., Int. J. Law Inf. Technol.
  Efforts in Europe for Data-Driven Improvement of Education - A Review of Learning Analytics Research in Seven Countries., Int. J. Learn. Anal. Artif. Intell. Educ.
  Specification, authoring and prototyping of personalised workplace learning solutions., Int. J. Learn. Technol.
  A transplantation of subject-independent model in cross-platform BCI., Int. J. Mach. Learn. Cybern.
  Coping with the Complexities of Multiple-Solution Problems A Case Study., Int. J. Man Mach. Stud.
  Study on Oxidation of Stainless Steels During Hot Rolling., Int. J. Manuf. Mater. Mech. Eng.
  Comparing quantifiable methods to measure complexity in assembly., Int. J. Manuf. Res.
  Etching characteristics of a silicon surface induced by focused ion beam irradiation., Int. J. Manuf. Technol. Manag.
  An Investigation on Gas Lift Performance Curve in an Oil-Producing Well., Int. J. Math. Math. Sci.
  On H-Supermagic Labelings of m-Shadow of Paths and Cycles., Int. J. Math. Math. Sci.
  BCK-Algebras and Related Algebraic Systems., Int. J. Math. Math. Sci.
  On Certain Multivalent Functions., Int. J. Math. Math. Sci.
  Mathematical modelling of human cardiovascular-respiratory system responses to exercise in Rwanda., Int. J. Math. Model. Numer. Optimisation
  Fuzzy methodology application for failure analysis of transmission system., Int. J. Math. Oper. Res.
  Computationally attractive non-linear models for combinatorial optimisation., Int. J. Math. Oper. Res.
  A new method for fuzzy numbers ranking on the basis of hypotenuse set., Int. J. Math. Oper. Res.
  Feature-wise differential evolution classifier with an OWA-based multi-distance aggregation., Int. J. Math. Oper. Res.
  Working time evaluation in assembly lines., Int. J. Math. Oper. Res.
  An integrated mathematical-computer approach for R&D project selection in large public organisations., Int. J. Math. Oper. Res.
  Developments of Environmental Certified Reference Material from the Brazilian Metrology Institute to Support National Traceability., Int. J. Meas. Technol. Instrum. Eng.
  Crawling and foot trajectory modification control for legged robot on uneven terrain., Int. J. Mechatronics Autom.
  Human blood-based electronic transistor., Int. J. Medical Eng. Informatics
  NLP based congestive heart failure case finding A prospective analysis on statewide electronic medical records., Int. J. Medical Informatics
  The Long-Term Ecological Research community metadata standardisation project a progress report., Int. J. Metadata Semant. Ontologies
  VoIP service model for multi-objective scheduling in cloud infrastructure., Int. J. Metaheuristics
  Smartphone-Based Mobile Learning with Physician Trainees in Botswana., Int. J. Mob. Blended Learn.
  Exploring e-business implications of the mobile internet a cross-national survey in Hong Kong, Japan and Korea., Int. J. Mob. Commun.
  Secure ICT services for mobile and wireless communications., Int. J. Mob. Commun.
  Building Wireless Sensor Network Applications with LooCI., Int. J. Mob. Comput. Multim. Commun.
  Co-Designing Wearable Technology Together with Visually Impaired Children., Int. J. Mob. Hum. Comput. Interact.
  Mobile and contextual learning a case study on mobile didactics in teaching and education., Int. J. Mob. Learn. Organisation
  Balancing virtual and real interactions in mobile learning., Int. J. Mob. Learn. Organisation
  Animal models of ischemic heart disease for in vivo cardiac MR imaging research., Int. J. Model. Identif. Control.
  Development, evaluation and application of reperfused liver infarction in rats as a practical model for studying ischemic diseases and screening new drugs., Int. J. Model. Identif. Control.
  The Geant4-DNA Project., Int. J. Model. Simul. Sci. Comput.
  An Anticipative Control Approach and Interactive GUI to Enhance the Rendering of the Distal Robot Interaction with its Environment during Robotized Tele-Echography Interactive Platform for Robotized Tele-Echography., Int. J. Monit. Surveillance Technol. Res.
  Iterative Usability Evaluation for an Online Educational Web Portal., Int. J. Multim. Data Eng. Manag.
  Optimizing Quality-of-Experience for HTTP-based Adaptive Video Streaming An SDN-based Approach., Int. J. Multim. Data Eng. Manag.
  Semi-Supervised Multimodal Fusion Model for Social Event Detection on Web Image Collections., Int. J. Multim. Data Eng. Manag.
  Using a Commodity Hardware Video Encoder for Interactive Applications., Int. J. Multim. Data Eng. Manag.
  Information extraction from multimedia web documents an open-source platform and testbed., Int. J. Multim. Inf. Retr.
  Introducing a unified framework for content object description., Int. J. Multim. Intell. Secur.
  Full Adder Operation Based on Si Nanodot Array Device with Multiple Inputs and Outputs., Int. J. Nanotechnol. Mol. Comput.
  Feature Selection for Bankruptcy Prediction A Multi-Objective Optimization Approach., Int. J. Nat. Comput. Res.
  Communication Platform for Image Analysis and Sharing in Biology., Int. J. Netw. Comput.
  The E3 architecture enabling future cellular networks with cognitive and self-x capabilities., Int. J. Netw. Manag.
  A Scheme for Finding and Blocking to Isolate Black Hole Nodes in Mobile Ad Hoc Networks., Int. J. Netw. Secur.
  An Attack on Libert et al.' s ID-based Undeniable Signature Scheme., Int. J. Netw. Secur.
  A framework for a network-level performance measurement system in SME networks., Int. J. Netw. Virtual Organisations
  Multimedia Analysis and Fusion via Wasserstein Barycenter., Int. J. Networked Distributed Comput.
  Deep Learning Representation from Electroencephalography of Early-Stage Creutzfeldt-Jakob Disease and Features for Differentiation from Rapidly Progressive Dementia., Int. J. Neural Syst.
  Single-Cell Recordings to Target the Anterior Nucleus of the Thalamus in Deep Brain Stimulation for Patients with Refractory Epilepsy., Int. J. Neural Syst.
  Symbiotic Ecologies in Next Generation Ambient Intelligent Environments., Int. J. Next Gener. Comput.
  An XML Modular Approach in the Building of Remote Labs by Students A Way to Improve Learning., Int. J. Online Biomed. Eng.
  VISIR Experiences and Challenges., Int. J. Online Eng.
  A Cloud Computing Model for Efficient Marketing Planning in Tourism., Int. J. Online Mark.
  Videogame Performance (Not Always) Requires Intelligence., Int. J. Online Pedagog. Course Des.
  A Novel Anti-Obfuscation Model for Detecting Malicious Code., Int. J. Open Source Softw. Process.
  Resource Availability Modeling and Optimization in a Car Park Management Problem., Int. J. Oper. Res. Inf. Syst.
  Automatic Partitioning of Large Scale Simulation in Grid Computing for Run Time Reduction., Int. J. Oper. Res. Inf. Syst.
  RSSMSO Rapid Similarity Search on Metric Space Object Stored in Cloud Environment., Int. J. Organ. Collect. Intell.
  Textual and Informational Characteristics of Drug-Related Content on Three Kinds of Websites Drug Review Website, Discussion Board and Hospital Information Portal., Int. J. Organ. Collect. Intell.
  Hybridization Between Scoring Technique and Similarity Technique for Automatic Summarization by Extraction., Int. J. Organ. Collect. Intell.
  Are motorways rational from slime mould's point of view?, Int. J. Parallel Emergent Distributed Syst.
  The Blue Gene/L Supercomputer A Hardware and Software Story., Int. J. Parallel Program.
  Twelve Numerical, Symbolic and Hybrid Supervised Classification Methods., Int. J. Pattern Recognit. Artif. Intell.
  Towards an Understanding of Requirements for Model Versioning Support., Int. J. People Oriented Program.
  The Benefit of Ambiguity in Understanding Goals in Requirements Modelling., Int. J. People Oriented Program.
  Viewpoint Modelling with Emotions A Case Study., Int. J. People Oriented Program.
  Pediatric and geriatric immunity network mobile computational model for COVID-19., Int. J. Pervasive Comput. Commun.
  Improving Quality Assurance with CDIO Self-Evaluation Experiences From a Nordic Project., Int. J. Qual. Assur. Eng. Technol. Educ.
  An RFID tracking system supporting the behavior analysis of colonial laboratory animals., Int. J. RF Technol. Res. Appl.
  New RFID pick-to-light system Operating characteristics and future potential., Int. J. RF Technol. Res. Appl.
  On the effects of spreading sequence pairs over MIMO-STS systems., Int. J. Radio Freq. Identif. Technol. Appl.
  MGA-TSP modernised genetic algorithm for the travelling salesman problem., Int. J. Reason. based Intell. Syst.
  Secure social multimedia content distribution based on social network analysis., Int. J. Reason. based Intell. Syst.
  SCOL similarity and credibility-based approach for opinion leaders detection in collaborative filtering-based recommender systems., Int. J. Reason. based Intell. Syst.
  The system of protecting eyes and saving energy based on Android., Int. J. Reason. based Intell. Syst.
  Naïve Bayes Classifier for Journal Quartile Classification., Int. J. Recent Contributions Eng. Sci. IT
  OveRSoC A Framework for the Exploration of RTOS for RSoC Platforms., Int. J. Reconfigurable Comput.
  Kinova Modular Robot Arms for Service Robotics Applications., Int. J. Robotics Appl. Technol.
  Droplet Distribution and control against citrus Leafminer with UAV Spraying., Int. J. Robotics Autom.
  Variable stiffness actuators The user's point of view., Int. J. Robotics Res.
  Cut & recombine reuse of robot action components based on simple language instructions., Int. J. Robotics Res.
  A Disaster Management Specific Mobility Model for Flying Ad-hoc Network., Int. J. Rough Sets Data Anal.
  Medco An Emergency Tele-Medicine System for Ambulance., Int. J. Rough Sets Data Anal.
  Assessment of spatial and temporal properties of Ka/Q band earth-space radio channel across Europe using Alphasat Aldo Paraboni payload., Int. J. Satell. Commun. Netw.
  Spatio-temporal XACML the expansion of XACML for access control., Int. J. Secur. Networks
  Evolution of Security Engineering Artifacts A State of the Art Survey., Int. J. Secur. Softw. Eng.
  Efficient Live and On-Demand Tiled HEVC 360 VR Video Streaming., Int. J. Semantic Comput.
  CommuniMents A Framework for Detecting Community Based Sentiments for Events., Int. J. Semantic Web Inf. Syst.
  Collaborative defence as a pervasive service architectural insights and validation methodologies of a trial deployment., Int. J. Sens. Networks
  Wireless sensor networks for soil science., Int. J. Sens. Networks
  Learning Analytics Architecture to Scaffold Learning Experience through Technology-based Methods., Int. J. Serious Games
  uRun A Framework for User-Generated Mobile Services in the Health and Fitness Domain., Int. J. Serv. Sci. Manag. Eng. Technol.
  Demonstrating the feasibility of standardised application programme interfaces that will allow mobile/portable terminals to receive services combining UMTS and DVB-T., Int. J. Serv. Stand.
  From top-down land use planning intelligence to bottom-up stakeholder engagement for smart cities - a case study DECUMANUS service products., Int. J. Serv. Technol. Manag.
  Constraint Modeling for Curves and Surfaces in CAGD a Survey., Int. J. Shape Model.
  Research Commentaries on Cangelosi's "Solutions and Open Challenges for the Symbol Grounding Problem"., Int. J. Signs Semiot. Syst.
  Towards energy efficiency of interdependent urban networks., Int. J. Simul. Process. Model.
  On the use of estimated tumour marker classifications in tumour diagnosis prediction - a case study for breast cancer., Int. J. Simul. Process. Model.
  Developing Confident Computational Thinking through Teacher Twinning Online., Int. J. Smart Educ. Urban Soc.
  Application of Educational Robotics on an Automated Water Management System., Int. J. Smart Educ. Urban Soc.
  Overlapping communities in social networks., Int. J. Soc. Comput. Cyber Phys. Syst.
  Event-driven modelling of evolving social networks., Int. J. Soc. Comput. Cyber Phys. Syst.
  ITS-LAGUNTXO enhancing the integration of people with intellectual disabilities., Int. J. Soc. Humanist. Comput.
  'TweetBoard' - a case study of developing a micro-blogging platform for higher education., Int. J. Soc. Media Interact. Learn. Environ.
  Small world networks and creativity in audio clip sharing., Int. J. Soc. Netw. Min.
  Children's Participation in Constructing the Future School A Study of a Large-Scale Effort Involving ICT., Int. J. Soc. Organ. Dyn. IT
  Guidelines for Designing Social Robots as Second Language Tutors., Int. J. Soc. Robotics
  Gamified Persuasion User Experiences of Online Activation Service., Int. J. Sociotechnology Knowl. Dev.
  Acceptability Evaluation of a Developed Thermal Infrared Device for Fire Risk Management Using the Unified Theory of Acceptance and Use of Technology (UTAUT) Model., Int. J. Sociotechnology Knowl. Dev.
  Perts a Prototyping Environment for Real-Time Systems., Int. J. Softw. Eng. Knowl. Eng.
  Connecting Closed World Research Information Systems through the Linked Open Data Web., Int. J. Softw. Eng. Knowl. Eng.
  Approximate K-Median of Location Streams with Redundancy and Inconsistency., Int. J. Softw. Informatics
  Living Models - Ten Principles for Change-Driven Software Engineering., Int. J. Softw. Informatics
  Quantum Anonymous Ranking with d-level Single-Particle States., Int. J. Softw. Informatics
  Gaits Classification of Normal vs. Patients by Wireless Gait Sensor and Support Vector Machine (SVM) Classifier., Int. J. Softw. Innov.
  A Scenario-Reconfigurable Simulator for Verifying Service-Oriented Cooperation Mechanisms and Policies of Connected Intelligent Vehicles., Int. J. Softw. Innov.
  Cognitive Informatics and Computational Intelligence From Information Revolution to Intelligence Revolution., Int. J. Softw. Sci. Comput. Intell.
  First international Competition on Runtime Verification rules, benchmarks, tools, and final results of CRV 2014., Int. J. Softw. Tools Technol. Transf.
  Smart care spaces needs for intelligent at-home care., Int. J. Space Based Situated Comput.
  Developing Feature Types and Related Catalogues for the Marine Community - Lessons from the MOTIIVE project., Int. J. Spatial Data Infrastructures Res.
  Efficient anomaly detection from medical signals and images., Int. J. Speech Technol.
  A Multi-Criteria Decision Making Approach for ranking Business Schools., Int. J. Strateg. Decis. Sci.
  Psychological Factors Influencing the Managers' Intention to Adopt Green IS A Review-Based Comprehensive Framework and Ranking the Factors., Int. J. Strateg. Decis. Sci.
  Nash Feature Package of an Integrated Finance Lease-Sales System for Cautious Customers., Int. J. Strateg. Decis. Sci.
  Estimating the Global Demand of Photovoltaic System., Int. J. Strateg. Decis. Sci.
  Online Store Attribute Preferences A Gender Based Perspective and MCDM Approach., Int. J. Strateg. Decis. Sci.
  Barriers to the Success of Total Quality Management Implementation in Vietnam's Textile and Garment Companies., Int. J. Strateg. Decis. Sci.
  Using Semantics to Discover Web Services Based on Partial Data An Update of Previous Research., Int. J. Strateg. Inf. Technol. Appl.
  Yet Another Multidimensional Model for XML Documents., Int. J. Strateg. Inf. Technol. Appl.
  Reconstruction of Electrical Impedance Tomography Using Fish School Search, Non-Blind Search, and Genetic Algorithm., Int. J. Swarm Intell. Res.
  A Virtual Reality Study of Help Recognition and Metacognition with an Affective Agent., Int. J. Synth. Emot.
  Geospatially extracting snow and ice cover distribution in the cold arid zone of India., Int. J. Syst. Assur. Eng. Manag.
  Design and implementation of tunnel image mosaic system based on open CV., Int. J. Syst. Assur. Eng. Manag.
  Online monitoring of drinking water quality in a distribution network a selection procedure for suitable water quality parameters and sensor devices., Int. J. Syst. Assur. Eng. Manag.
  EAST-ADL An Architecture Description Language for Automotive Software-intensive Systems in the Light of Recent use and Research., Int. J. Syst. Dyn. Appl.
  A fuzzy multi-objective model for capacity allocation and pricing policy of provider in data communication service with different QoS levels., Int. J. Syst. Sci.
  Developing Local Association Network Based IoT Solutions for Body Parts Tagging and Tracking., Int. J. Syst. Serv. Oriented Eng.
  A research agenda for systems of systems architecting., Int. J. Syst. Syst. Eng.
  Identifying the Ethics of Emerging Information and Communication Technologies An Essay on Issues, Concepts and Method., Int. J. Technoethics
  Localization of Autonomous Robot in an Urban Area Based on SURF Feature Extraction of Images., Int. J. Technol. Diffusion
  The Distribution Method of the High Resolution Video for a Blackboard Based Lecture., Int. J. Technol. Educ. Mark.
  Internet-Enabled User Interfaces for Distance Learning., Int. J. Technol. Hum. Interact.
  Global governance of technology meeting the needs of developing countries., Int. J. Technol. Manag.
  A complete literature review on financial fraud detection applying data mining techniques., Int. J. Trust. Manag. Comput. Commun.
  Theory and implementation of a virtualisation level Future Internet defence in depth architecture., Int. J. Trust. Manag. Comput. Commun.
  An indoor path loss model for wireless sensor networks., Int. J. Ultra Wideband Commun. Syst.
  An overview of radar based ultra wideband breast cancer detection algorithms., Int. J. Ultra Wideband Commun. Syst.
  FML-based Dynamic Assessment Agent for Human-Machine Cooperative System on Game of Go., Int. J. Uncertain. Fuzziness Knowl. Based Syst.
  Microscale Chemically Reactive Electronic Agents., Int. J. Unconv. Comput.
  Building a Virtual Environment for Diabetes Self-Management Education and Support., Int. J. Virtual Communities Soc. Netw.
  Avatar-Based Learning and Teaching as a Concept of New Perspectives in Online Education in Post-Soviet Union Countries Theory, Environment, Approaches, Tools., Int. J. Virtual Pers. Learn. Environ.
  New Directions in 3D User Interfaces., Int. J. Virtual Real.
  Student body gesture recognition based on Fisher broad learning system., Int. J. Wavelets Multiresolution Inf. Process.
  Wavelet analysis of the temporal-spatial distribution in the Eurasia seismic belt., Int. J. Wavelets Multiresolution Inf. Process.
  An Expert acquiring method of Diagnosis and Senario based on maximum knowledge entropy., Int. J. Web Appl.
  RT-ETM Toward Analysis and Formalizing Transaction and Data Models in Realtime Databases., Int. J. Web Appl.
  Using a Streaming SPARQL Evaluator for Monitoring eBay Auctions., Int. J. Web Appl.
  Identification of differences in university e-environment between selected EU and non-EU countries using knowledge mining methods project IRNet case study., Int. J. Web Based Communities
  Community-supported collaborative navigation with FoxPeer., Int. J. Web Based Communities
  The Blended Learning Ecosystem of an Academic Institution in Greece., Int. J. Web Based Learn. Teach. Technol.
  Towards an approach to design and enforce security in web service composition., Int. J. Web Eng. Technol.
  Lessons learned through driving science applications in the PRAGMA grid., Int. J. Web Grid Serv.
  A survey on web modeling approaches for ubiquitous web applications., Int. J. Web Inf. Syst.
  Dashboard Services for Pragmatics-Based Interoperability in Cloud and Ubiquitous Manufacturing., Int. J. Web Portals
  The Quality of Portuguese Obesity Websites., Int. J. Web Portals
  Analysing Critical Success Factors for Supporting Online Shopping., Int. J. Web Portals
  Automatic discovery and ranking of synonyms for search keywords in the web., Int. J. Web Sci.
  Measuring the Service Quality of E-Commerce and Competitive Strategies., Int. J. Web Serv. Res.
  XWRAPComposer A Multi-Page Data Extraction Service., Int. J. Web Serv. Res.
  Dealing with Scale and Adaptation of Global Web Services Management., Int. J. Web Serv. Res.
  A Trust-Powered Technique to Facilitate Scientific Tool Discovery and Recommendation., Int. J. Web Serv. Res.
  RF Localization for Wireless Video Capsule Endoscopy., Int. J. Wirel. Inf. Networks
  Seamless multimedia sessions and real-time measurements in hybrid 3G and WLAN networks., Int. J. Wirel. Mob. Comput.
  Detection and prevention of botnets and malware in an enterprise network., Int. J. Wirel. Mob. Comput.
  Trajectory planning algorithm and simulation of 6-DOF manipulator., Int. J. Wirel. Mob. Comput.
  Design of satellite TV antenna control system for car carrying., Int. J. Wirel. Mob. Comput.
  An adaptive computer-aided tongue diagnosis method using colour-calibration preprocessing and multiple feature synthesis based on Android platform., Int. J. Wirel. Mob. Comput.
  Precise At-sea Ship System for Indoor Outdoor Navigation (PASSION) Augmentation Using Bluetooth Low Energy., Int. J. Wirel. Networks Broadband Technol.
  Multi-System Integration Scheme for Intelligence Transportation System Applications., Int. J. Wirel. Networks Broadband Technol.
  A Signal Adaptation Mechanism for Power Optimization of Wireless Adapters., Int. J. Wirel. Networks Broadband Technol.
  A Source Based On-Demand Data Forwarding Scheme for Wireless Sensor Networks., Int. J. Wirel. Networks Broadband Technol.
  An 802.11p Compliant System Prototype Supporting Road Safety and Traffic Management Applications., Int. J. Wirel. Networks Broadband Technol.
  A Simulation Framework for the Evaluation of Frequency Reuse in LTE-A Systems., Int. J. Wirel. Networks Broadband Technol.
  Compact Monopole excited Drum Shaped Antenna for Aws/DCS/PCS/ DECT/3G/UMTS/Bluetooth Applications., Int. J. Wirel. Opt. Commun.
  A Novel Dual-Band Fiber Bragg Grating with Enhanced Side-Lobe Suppression Ratio by Using Triple Exposure Technique., Int. J. Wirel. Opt. Commun.
  Patterns in Electronic Brainstorming., Int. J. e Collab.
  Creating Virtual Communities That Work Best Practices for Users and Developers of E-Collaboration Software., Int. J. e Collab.
  A robust DEA-centric location-based decision support system for expanding Recreovía hubs in the city of Bogotá (Colombia)., Int. Trans. Oper. Res.
  Towards Self-Organizing Knowledge Networks for Smart World Infrastructures., Int. Trans. Syst. Sci. Appl.
  Evaluation of a Multi-Agent System for Hospital Patient Scheduling., Int. Trans. Syst. Sci. Appl.
  Gaussian Distribution of the Number of Summands in Generalized Zeckendorf Decompositions in Small Intervals., Integers
  On Algorithms to Calculate Integer Complexity., Integers
  A scalable LDPC decoder ASIC architecture with bit-serial message exchange., Integr.
  Noise tolerant probabilistic logic for statistical pattern recognition applications., Integr. Comput. Aided Eng.
  Sistemas Distribuidos y CSCL., Inteligencia Artif.
  Un sistema inteligente para calificar morfológicamente a bovinos de la raza Asturiana de los Valles., Inteligencia Artif.
  Building intelligent dialog systems., Intell.
  War stories harnessing organizational memories to support task performance., Intell.
  V-Lab® - A Distributed Intelligent Discrete-Event Environment for Autonomous Agents Simulationi., Intell. Autom. Soft Comput.
  Future trends in business analytics and optimization., Intell. Data Anal.
  TRRD Technology for extraction, storage, and use of knowledge about the structural-functional organization of the transcriptional regulatory regions in the eukaryotic genes., Intell. Data Anal.
  Transformable boundary artifacts for knowledge-based work in cross-organization virtual communities spaces., Intell. Decis. Technol.
  Automated activity pattern learning and monitoring provide decision support to supervisors of busy environments., Intell. Decis. Technol.
  Small Food Businesses Trying to Improve Taking Records with a Mobile Device Application., Intell. Inf. Manag.
  Navigation assistance and guidance of older adults across complex public spaces the DALi approach., Intell. Serv. Robotics
  Effects of Price Regulations and Dark Pools on Financial Market Stability An Investigation by Multiagent Simulations., Intell. Syst. Account. Finance Manag.
  Creating instruction with IDE Tools for instructional designers., Intell. Tutoring Media
  Development of intelligent service robots., Intelligenza Artificiale
  Neuro-Fuzzy Physiological Computing to Assess Stress Levels in Virtual Reality Therapy., Interact. Comput.
  The design and development of the dragoon intelligent tutoring system for model construction lessons learned., Interact. Learn. Environ.
  ViPLab - A Virtual Programming Laboratory for Mathematics and Engineering., Interact. Technol. Smart Educ.
  Enhancing reading skills through adaptive e-learning., Interact. Technol. Smart Educ.
  Demo hour., Interactions
  The New York City Off-Hour Delivery Program A Business and Community-Friendly Sustainability Program., Interfaces
  On the Approximability of Reachability-Preserving Network Orientations., Internet Math.
  NAViGaTOR Large Scalable and Interactive Navigation and Analysis of Large Graphs., Internet Math.
  Equilibria and Efficiency Loss in Games on Networks., Internet Math.
  The NASA Technical Report Server., Internet Res.
  Integration of an adaptive trust-based e-assessment system into virtual learning environments - The TeSLA project experience., Internet Technol. Lett.
  Network slicing security Challenges and directions., Internet Technol. Lett.
  A smartphone-based technology package to support independent activity in people with intellectual disability and blindness., Internet Technol. Lett.
